waste_type,household_source,chemical_category,toxicity_level,flammability,corrosiveness,reactivity,quantity_range,recommended_treatment,,,SURE ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Feature Name,Definition,Status,Why it is Necessary?
,,,,,,,,,,,,,,,,,,,waste_type,"The specific name of the item (e.g., ""Lithium-ion Battery"", ""Latex Paint"", ""Bleach"").",KEEP,Core Input. This is the primary identifier. The model relies on this to look up chemical properties.
,,,,,,,,,,,,,,,,,,,household_source,"Where the waste was generated (e.g., ""Kitchen"", ""Garage"", ""Garden"", ""Bathroom"").",KEEP,"Context. Helps the model infer ambiguity (e.g., an unknown bottle in the ""Garage"" is likely automotive or pesticide; in the ""Bathroom"" it is likely a cleaner)."
,,,,,,,,,,,,,,,,,,,chemical_category,"The broad chemical family (e.g., ""Heavy Metals"", ""Organic Solvents"", ""Acids"", ""Bases"").",KEEP,Generalization. Helps the ML model group similar items together even if it hasn't seen the specific waste_type before.
,,,,,,,,,,,,,,,,,,,toxicity_level,"Categorical rating of health danger: Low, Medium, High, Severe.",KEEP,Safety. Directly correlates to the urgency of disposal and the type of protective gear needed.
,,,,,,,,,,,,,,,,,,,flammability,Binary (0/1) or Categorical (Low/High). Does it catch fire easily?,KEEP,Safety. Determines if the item needs to be stored away from heat/sparks and if incineration is a viable option (often it's not).
,,,,,,,,,,,,,,,,,,,corrosiveness,Binary (0/1). Does it burn skin or eat through metal (pH < 2 or > 12.5)?,KEEP,Treatment Logic. Corrosive items usually require Neutralization before disposal.
,,,,,,,,,,,,,,,,,,,reactivity,Binary (0/1). Does it explode or release gas when mixed with water/air?,KEEP,"Safety. High reactivity prevents certain treatments (like mixing with other wastes) and dictates ""Segregated Storage."""
,,,,,,,,,,,,,,,,,,,quantity_range,"The volume/amount: Small (<1kg/L), Medium, Large (>5kg/L).",KEEP,Logistics. A single battery can be dropped at a kiosk; a barrel of oil requires a pickup service.
,,,,,,,,,,,,,,,,,,,container_condition,"The state of the packaging: Intact, Leaking, Damaged, Corroded.",ADD,"Real-world Logic. If a container is ""Leaking,"" the immediate advice must change to ""Contain Spill"" before ""Recycle."" This adds depth to your ""Intelligent"" system."
,,,,,,,,,,,,,,,,,,,recyclability_score,A normalized score (0.0 to 1.0) indicating how technically feasible it is to recover materials.,KEEP,"Objective Function. High scores push the model to recommend ""Recycling"" or ""Recovery"" over ""Landfill."""
,,,,,,,,,,,,,,,,,,,environmental_risk_score,"A composite score (0-100) combining persistence, bio-accumulation, and toxicity.",KEEP,Prioritization. Helps the system prioritize high-risk items for immediate treatment.
